num_func_eval,num_grad_call,sup_err,grid_err,delta
320.0,32.0,0.03922995693403262,0.018281086797431068,0.0625
500.0,50.0,0.020005551994414714,0.008372961432241423,0.04
720.0,72.0,0.010554493080708148,0.0036291819025368825,0.027777777777777776
1470.0,147.0,0.003122817792286948,0.00038353433798536153,0.02040816326530612
1920.0,192.0,0.0020624966051330934,0.00038353433798536153,0.015625
2430.0,243.0,0.0014964851730288574,0.00038353433798536153,0.012345679012345678
3000.0,300.0,0.0013065668176744406,0.00038353433798536153,0.01
3630.0,363.0,0.0010086081211880225,0.00038353433798536153,0.008264462809917356
4320.0,432.0,0.0008526927542615026,0.00038353433798536153,0.006944444444444444
5070.0,507.0,0.0006541995525573344,0.00038353433798536153,0.005917159763313609
5880.0,588.0,0.0005762616306493364,0.00038353433798536153,0.00510204081632653
9000.0,900.0,0.0005318234832512939,4.6585555779779866e-05,0.0044444444444444444
10236.0,1024.0,0.0005318234832512939,4.6585555779779866e-05,0.00390625
11556.0,1156.0,0.00035357948819980667,4.6585555779779866e-05,0.0034602076124567475
12951.0,1296.0,0.00035357948819980667,4.6585555779779866e-05,0.0030864197530864196
14416.0,1444.0,0.00033232157034209647,4.6585555779779866e-05,0.002770083102493075
