num_itr,sup_err
80,0.2753765881061554
110,0.32505652308464056
120,0.2858791649341583
150,0.2917436212301255
200,0.24586713314056396
240,0.2191166579723359
330,0.18456801772117615
500,0.1601385027170182
690,0.13423387706279757
970,0.10706075280904777
1510,0.08946695178747187
2020,0.07081229984760286
2840,0.05082349479198464
3860,0.04219274222850805
5260,0.03220196068286897
7280,0.023099228739738464
9730,0.0142942965030671
12700,0.014499470591545188
17100,0.006954684853553786
23140,0.006975315511226668
30100,0.00180100649595262
41650,0.0009370818734169492
54830,0.0009600929915905485
73250,0.0013181827962399015
